id,property_type,address,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming pool,garden,air_conditioning ,heating,log_price,city-neighborhood
103858738,Flat / apartment,calle del Rosselló,La Dreta de l'Eixample,Barcelona,595000.0,111,3,2,4,1920.0,True,True,False,True,True,False,False,False,False,True,True,13.296318365198623,Barcelona - La Dreta de l'Eixample
100191139,Flat / apartment,La Dreta de l'Eixample,Eixample,Barcelona,4800000.0,534,5,5,3,1940.0,True,True,True,True,True,False,False,False,False,True,True,15.38412668421143,Barcelona - Eixample
103884625,Flat / apartment,calle de Casp,La Dreta de l'Eixample,Barcelona,850000.0,95,2,2,0,2015.0,True,True,False,False,True,False,False,False,False,True,True,13.652992804936396,Barcelona - La Dreta de l'Eixample
95286671,Flat / apartment,La Dreta de l'Eixample,Eixample,Barcelona,995000.0,188,4,2,1,1939.0,True,True,False,True,True,False,False,False,False,True,True,13.81049902116535,Barcelona - Eixample
103450702,Flat / apartment,"avenida Diagonal , 360",La Dreta de l'Eixample,Barcelona,725000.0,65,1,1,8,1920.0,True,True,True,False,False,False,False,False,False,False,True,13.493928313146206,Barcelona - La Dreta de l'Eixample
103909650,Flat / apartment,plaza de Tetuan,La Dreta de l'Eixample,Barcelona,580000.0,112,3,2,4,1887.0,True,True,False,False,True,False,False,False,False,True,True,13.270785106659046,Barcelona - La Dreta de l'Eixample
99991704,Flat / apartment,paseo de gracia,La Dreta de l'Eixample,Barcelona,3500000.0,255,4,4,6,1885.0,True,True,True,True,True,False,True,False,False,True,True,15.068273812173887,Barcelona - La Dreta de l'Eixample
103373974,Flat / apartment,calle del Consell de Cent,La Dreta de l'Eixample,Barcelona,550000.0,93,4,2,3,1975.0,True,True,True,True,True,False,False,False,False,False,True,13.217675375388819,Barcelona - La Dreta de l'Eixample
104354008,Flat / apartment,"paseo Sant Joan, 74",La Dreta de l'Eixample,Barcelona,695000.0,100,2,2,2,1920.0,True,True,False,True,False,False,False,False,False,True,True,13.451668563394815,Barcelona - La Dreta de l'Eixample
104165313,Flat / apartment,"calle Pau Claris, 115",La Dreta de l'Eixample,Barcelona,1470000.0,202,4,3,1,1920.0,True,True,True,False,False,False,False,False,False,False,True,14.200773639026796,Barcelona - La Dreta de l'Eixample
103884921,Flat / apartment,calle d'Aragó,La Dreta de l'Eixample,Barcelona,875000.0,111,2,2,1,1890.0,True,True,False,True,True,False,False,False,False,True,True,13.681980308196241,Barcelona - La Dreta de l'Eixample
100962247,Flat / apartment,"Gran Via de les Corts Catalanes, 657",La Dreta de l'Eixample,Barcelona,740000.0,126,4,2,5,1885.0,True,True,False,True,True,False,False,False,False,True,True,13.51440681653079,Barcelona - La Dreta de l'Eixample
104252023,Flat / apartment,La Dreta de l'Eixample,Eixample,Barcelona,375000.0,76,3,1,3,1893.0,True,True,False,True,True,True,False,False,False,True,True,12.834683971615659,Barcelona - Eixample
102837377,Flat / apartment,paseo de Sant Joan Nn,La Dreta de l'Eixample,Barcelona,1900000.0,140,1,1,2,1920.0,True,True,True,True,True,False,False,False,False,False,True,14.45736497045232,Barcelona - La Dreta de l'Eixample
101106884,Flat / apartment,"ronda de la Universitat, 6",La Dreta de l'Eixample,Barcelona,999500.0,168,3,3,2,1900.0,True,True,False,True,True,False,False,False,False,False,True,13.815011433422342,Barcelona - La Dreta de l'Eixample
103941637,Flat / apartment,calle del Bruc,La Dreta de l'Eixample,Barcelona,1250000.0,99,3,2,0,2000.0,True,True,True,True,True,False,False,False,False,False,True,14.038654909278163,Barcelona - La Dreta de l'Eixample
103515745,Flat / apartment,"calle del Consell de Cent, 362",La Dreta de l'Eixample,Barcelona,1200000.0,130,3,2,5,1900.0,True,True,True,True,True,False,False,False,False,True,True,13.997832948091215,Barcelona - La Dreta de l'Eixample
102945846,Flat / apartment,calle Provença,La Dreta de l'Eixample,Barcelona,2450000.0,220,3,3,1,1920.0,True,True,False,False,True,False,False,False,False,False,True,14.711598990684092,Barcelona - La Dreta de l'Eixample
94385162,Detached house,La Dreta de l'Eixample,Eixample,Barcelona,598000.0,135,2,2,1,1995.0,False,False,True,True,True,False,False,False,False,True,True,13.301347705172173,Barcelona - Eixample
103791373,Flat / apartment,Gran Via de les Corts Catalanes,La Dreta de l'Eixample,Barcelona,525000.0,86,2,1,5,1920.0,False,True,False,False,True,False,False,False,False,False,True,13.171155446333852,Barcelona - La Dreta de l'Eixample
103074562,Flat / apartment,calle de Roger de Llúria,La Dreta de l'Eixample,Barcelona,1550000.0,179,3,2,4,1900.0,True,True,False,True,True,False,False,False,False,True,True,14.253766134056512,Barcelona - La Dreta de l'Eixample
101817514,Flat / apartment,"calle del Consell de Cent, 384",La Dreta de l'Eixample,Barcelona,550000.0,93,4,2,2,1975.0,True,True,False,True,True,False,False,False,False,True,True,13.217675375388819,Barcelona - La Dreta de l'Eixample
83891234,Flat / apartment,"calle de Casp, Barcelona",La Dreta de l'Eixample,Barcelona,795000.0,110,2,2,3,1920.0,True,True,False,False,True,False,False,False,False,True,True,13.586098651497313,Barcelona - La Dreta de l'Eixample
104349118,Flat / apartment,"paseo de Sant Joan, 35",La Dreta de l'Eixample,Barcelona,675000.0,108,3,2,1,1920.0,True,True,False,False,True,False,False,False,False,True,True,13.42246945133505,Barcelona - La Dreta de l'Eixample
98717595,Flat / apartment,La Dreta de l'Eixample,Eixample,Barcelona,700000.0,67,1,1,7,1996.0,False,True,False,False,True,False,False,False,False,True,True,13.45883704259595,Barcelona - Eixample
102175271,Flat / apartment,La Dreta de l'Eixample,Eixample,Barcelona,1850000.0,144,2,2,3,1940.0,False,True,True,False,True,False,False,False,False,False,True,14.430696737594902,Barcelona - Eixample
103958138,Flat / apartment,La Nova Esquerra de l'Eixample,Eixample,Barcelona,720000.0,122,4,2,7,1954.0,True,True,True,True,True,False,False,False,False,True,True,13.487007879880162,Barcelona - Eixample
103172250,Flat / apartment,calle d'Aragó,La Nova Esquerra de l'Eixample,Barcelona,295000.0,75,3,2,1,1975.0,True,True,False,True,True,False,False,False,False,True,True,12.59473402514672,Barcelona - La Nova Esquerra de l'Eixample
104181689,Flat / apartment,"calle del Comte d'Urgell, 69",La Nova Esquerra de l'Eixample,Barcelona,512300.0,66,2,1,4,1963.0,True,True,False,True,True,False,False,False,False,False,True,13.14666762190665,Barcelona - La Nova Esquerra de l'Eixample
104215852,Flat / apartment,avenida de Josep Tarradellas,La Nova Esquerra de l'Eixample,Barcelona,635000.0,109,4,2,9,1970.0,True,True,False,False,True,False,False,False,False,False,True,13.361381852676738,Barcelona - La Nova Esquerra de l'Eixample
103521827,Flat / apartment,Valencia,La Nova Esquerra de l'Eixample,Barcelona,475000.0,105,4,2,4,1963.0,True,True,True,True,True,True,False,False,False,False,True,13.07107218827772,Barcelona - La Nova Esquerra de l'Eixample
104096370,Studio flat,calle de Mallorca,La Nova Esquerra de l'Eixample,Barcelona,248000.0,50,0,1,0,1987.0,True,True,False,False,True,False,False,False,False,True,False,12.421188057397055,Barcelona - La Nova Esquerra de l'Eixample
104380230,Flat / apartment,"calle d'Aragó, 48",La Nova Esquerra de l'Eixample,Barcelona,178000.0,39,1,1,0,1963.0,False,True,False,False,True,False,False,False,False,False,False,12.08954444723597,Barcelona - La Nova Esquerra de l'Eixample
100637401,Penthouse,consell de cent,La Nova Esquerra de l'Eixample,Barcelona,395000.0,82,2,1,5,1900.0,True,True,True,False,True,False,False,False,False,True,True,12.886643575525625,Barcelona - La Nova Esquerra de l'Eixample
103215455,Penthouse,calle de Londres,La Nova Esquerra de l'Eixample,Barcelona,255000.0,53,1,1,5,1912.0,True,True,True,False,True,False,False,False,False,False,True,12.449022745701502,Barcelona - La Nova Esquerra de l'Eixample
95140426,Studio flat,Londres,La Nova Esquerra de l'Eixample,Barcelona,255000.0,53,0,1,5,1912.0,False,True,False,False,True,False,False,False,False,False,True,12.449022745701502,Barcelona - La Nova Esquerra de l'Eixample
103969539,Flat / apartment,La Nova Esquerra de l'Eixample,Eixample,Barcelona,515000.0,98,5,2,5,1964.0,True,True,True,True,True,False,False,False,False,False,True,13.151924121391561,Barcelona - Eixample
104360378,Flat / apartment,La Sagrera,Sant Andreu,Barcelona,499000.0,110,3,2,0,2026.0,False,True,True,False,True,False,False,False,False,True,True,13.120363378739663,Barcelona - Sant Andreu
103493242,Flat / apartment,calle de la Independència,El Clot,Barcelona,350000.0,65,2,1,4,1992.0,True,True,False,False,True,False,False,False,False,True,True,12.765691290604371,Barcelona - El Clot
103030217,Flat / apartment,calle de Provença,L'Antiga Esquerra de l'Eixample,Barcelona,468000.0,96,3,1,5,1930.0,True,True,False,True,True,False,False,False,False,True,True,13.056225711649638,Barcelona - L'Antiga Esquerra de l'Eixample
104236021,Flat / apartment,calle de Muntaner,L'Antiga Esquerra de l'Eixample,Barcelona,840000.0,102,2,2,3,1940.0,True,True,True,True,True,False,False,False,False,True,True,13.641158361294979,Barcelona - L'Antiga Esquerra de l'Eixample
104107594,Flat / apartment,calle de Villarroel,L'Antiga Esquerra de l'Eixample,Barcelona,460000.0,90,4,1,2,1957.0,True,True,False,False,True,True,False,False,False,True,True,13.038983942375959,Barcelona - L'Antiga Esquerra de l'Eixample
103271676,Penthouse,calle de Londres,L'Antiga Esquerra de l'Eixample,Barcelona,900000.0,171,6,3,6,1964.0,True,True,True,True,True,False,False,False,False,True,True,13.710151153416941,Barcelona - L'Antiga Esquerra de l'Eixample
101478731,Flat / apartment,calle de Buenos Aires,L'Antiga Esquerra de l'Eixample,Barcelona,570000.0,111,4,2,6,1958.0,False,True,False,False,True,True,False,False,False,False,True,13.25339339419516,Barcelona - L'Antiga Esquerra de l'Eixample
103592826,Flat / apartment,L'Antiga Esquerra de l'Eixample,Eixample,Barcelona,480000.0,82,2,1,5,1909.0,True,True,False,False,True,False,False,False,False,True,True,13.081543466215237,Barcelona - Eixample
102073003,Flat / apartment,calle de Casanova,L'Antiga Esquerra de l'Eixample,Barcelona,720000.0,91,2,2,6,1940.0,True,True,False,False,True,False,False,False,False,True,False,13.487007879880162,Barcelona - L'Antiga Esquerra de l'Eixample
101476967,Flat / apartment,calle de la Diputació,L'Antiga Esquerra de l'Eixample,Barcelona,670000.0,130,3,2,6,1907.0,True,True,False,True,True,False,False,False,False,True,True,13.415034483903348,Barcelona - L'Antiga Esquerra de l'Eixample
104257761,Flat / apartment,avenida de Sarrià,L'Antiga Esquerra de l'Eixample,Barcelona,500000.0,102,4,2,6,1979.0,True,True,True,True,True,True,False,False,False,False,True,13.122365377402328,Barcelona - L'Antiga Esquerra de l'Eixample
104176077,Flat / apartment,calle d'Enric Granados,L'Antiga Esquerra de l'Eixample,Barcelona,540000.0,113,3,2,2,1985.0,False,True,True,True,True,False,False,False,False,False,True,13.199326270390594,Barcelona - L'Antiga Esquerra de l'Eixample
99577810,Flat / apartment,calle de Provença,L'Antiga Esquerra de l'Eixample,Barcelona,554000.0,113,3,3,1,1949.0,True,False,False,True,True,False,False,False,False,True,True,13.224921770781943,Barcelona - L'Antiga Esquerra de l'Eixample
99679434,Flat / apartment,calle d'Aribau,L'Antiga Esquerra de l'Eixample,Barcelona,1050000.0,230,3,2,0,1940.0,False,False,False,False,True,False,False,False,False,False,True,13.864301674514206,Barcelona - L'Antiga Esquerra de l'Eixample
102851212,Flat / apartment,calle de Balmes,L'Antiga Esquerra de l'Eixample,Barcelona,950000.0,124,3,2,1,1940.0,False,True,True,False,True,False,False,False,False,True,False,13.76421831620775,Barcelona - L'Antiga Esquerra de l'Eixample
103324406,Flat / apartment,L'Antiga Esquerra de l'Eixample,Eixample,Barcelona,426000.0,76,3,2,0,1930.0,False,True,False,False,True,False,False,False,False,False,True,12.962196972666593,Barcelona - Eixample
102222204,Flat / apartment,"calle de Buenos Aires, 18",L'Antiga Esquerra de l'Eixample,Barcelona,790000.0,150,3,3,3,1940.0,True,True,True,True,True,False,False,False,False,True,True,13.579789490265188,Barcelona - L'Antiga Esquerra de l'Eixample
103453378,Flat / apartment,calle d'Aiguablava,La Trinitat Nova,Barcelona,111900.0,50,2,1,3,1963.0,False,False,False,False,True,False,False,False,False,False,True,11.625369830810577,Barcelona - La Trinitat Nova
104354892,Flat / apartment,Sant Andreu,Sant Andreu,Barcelona,499000.0,109,2,2,7,2025.0,False,True,True,False,True,False,False,False,False,True,True,13.120363378739663,Barcelona - Sant Andreu
102369917,Flat / apartment,"calle de Palomar, 70",Sant Andreu,Barcelona,460000.0,101,3,2,3,1969.0,True,True,True,False,False,False,False,False,False,True,True,13.038983942375959,Barcelona - Sant Andreu
104023513,Terraced house,calle de Concepción Arenal,Sant Andreu,Barcelona,595000.0,235,8,2,1,1900.0,False,False,True,True,True,True,False,True,True,False,True,13.296318365198623,Barcelona - Sant Andreu
103873522,Flat / apartment,"calle d'Eiximinis, 5",Sant Andreu,Barcelona,300000.0,54,2,1,1,1969.0,True,True,True,False,False,False,False,False,False,False,True,12.611541086966115,Barcelona - Sant Andreu
104320031,Flat / apartment,calle del Cinca,Sant Andreu,Barcelona,445000.0,110,4,2,4,1999.0,True,True,False,True,True,False,True,False,False,False,True,13.005831808336863,Barcelona - Sant Andreu
103703572,Flat / apartment,"calle Colombia, 1",Sant Andreu,Barcelona,475000.0,92,3,2,1,1969.0,True,True,True,False,False,False,False,False,False,False,True,13.07107218827772,Barcelona - Sant Andreu
104356612,Flat / apartment,"calle de Balira, 20",Sant Andreu,Barcelona,480000.0,120,4,2,3,1969.0,True,True,True,False,True,False,True,False,False,True,True,13.081543466215237,Barcelona - Sant Andreu
102613227,Flat / apartment,calle de Rocafort,Sant Antoni,Barcelona,610000.0,82,3,2,1,1920.0,True,True,False,True,True,False,False,False,False,True,True,13.321215875492413,Barcelona - Sant Antoni
104035756,Flat / apartment,ronda de Sant Pau,Sant Antoni,Barcelona,279000.0,89,3,1,4,1960.0,True,True,False,True,True,False,False,False,False,False,True,12.53897064502647,Barcelona - Sant Antoni
103148156,Flat / apartment,calle d'Entença,Sant Antoni,Barcelona,369000.0,80,3,1,5,1963.0,True,True,False,False,True,False,False,False,False,True,True,12.818554633046093,Barcelona - Sant Antoni
92890308,Flat / apartment,avenida del Paral·lel,Sant Antoni,Barcelona,460000.0,96,3,2,3,1939.0,True,True,False,True,True,False,False,False,False,True,False,13.038983942375959,Barcelona - Sant Antoni
102781966,Flat / apartment,calle de Manso,Sant Antoni,Barcelona,415000.0,110,4,2,3,1936.0,True,True,True,True,True,False,False,False,False,True,True,12.936036208848487,Barcelona - Sant Antoni
